date,USDEUR,USDGBP,USDJPY,USDUAH,EURUSD,EURGBP,EURJPY,EURUAH
2025-09-28,0.854203,0.74585,149.409778,41.315477,1.170681,0.873153,174.911241,48.367259
2025-09-29,0.85243,0.74425,148.597294,41.284763,1.173117,0.873092,174.322044,48.431867
2025-09-30,0.85213,0.743885,148.000955,41.164508,1.17353,0.872972,173.683629,48.307803
2025-10-01,0.85226,0.74187,147.090501,41.183239,1.173351,0.870474,172.588755,48.322386
2025-10-02,0.852904,0.74371,147.157017,41.281069,1.172465,0.871973,172.536381,48.400589
2025-10-03,0.851704,0.742005,147.45504,41.279423,1.174117,0.8712,173.129423,48.46686
2025-10-04,0.851704,0.736947,147.44504,41.24901,1.174117,0.865262,173.117681,48.431151
2025-10-05,0.853845,0.744445,149.614499,41.24901,1.171173,0.871874,175.224425,48.309716
2025-10-06,0.85398,0.74161,150.339009,41.293801,1.170988,0.868416,176.045145,48.354537
2025-10-07,0.858085,0.74514,152.027014,41.379609,1.165386,0.868375,177.170111,48.223205
2025-10-08,0.859798,0.746225,152.686994,41.479736,1.163063,0.867907,177.584662,48.243565
2025-10-09,0.86459,0.75165,152.991501,41.74821,1.156618,0.869372,176.952686,48.28672
2025-10-10,0.860704,0.748923,151.204504,41.506428,1.161839,0.870129,175.675361,48.223806
2025-10-11,0.860704,0.748923,151.19504,41.455546,1.161839,0.870129,175.664365,48.16469
2025-10-12,0.86192,0.74988,152.041502,41.509109,1.1602,0.870011,176.398581,48.158877
2025-10-13,0.86458,0.750065,152.441002,41.658093,1.15663,0.867548,176.31791,48.18302
2025-10-14,0.86193,0.75071,151.738503,41.801797,1.160187,0.870964,176.04501,48.497894
2025-10-15,0.85866,0.74605,150.976504,41.691993,1.164605,0.868854,175.827971,48.554698
2025-10-16,0.85475,0.743765,150.129036,41.655214,1.169932,0.870155,175.64083,48.733786
2025-10-17,0.857604,0.744768,150.61504,41.853814,1.166039,0.868429,175.62304,48.803187
2025-10-18,0.857604,0.747747,150.60504,41.862971,1.166039,0.871903,175.611379,48.813866
2025-10-19,0.85785,0.744865,150.897015,41.844481,1.165705,0.868293,175.901436,48.778329
2025-10-20,0.85881,0.746015,150.777503,41.778388,1.164402,0.868661,175.565635,48.646842
2025-10-21,0.86207,0.74825,151.897019,41.745796,1.159998,0.867969,176.200312,48.42506
2025-10-22,0.86147,0.749021,151.953975,41.674049,1.160807,0.869469,176.389207,48.37552
2025-10-23,0.86077,0.750371,152.615003,41.837332,1.16175,0.871743,177.300554,48.60454
2025-10-24,0.860104,0.751541,152.80604,42.055318,1.16265,0.873779,177.659936,48.895614
2025-10-25,0.860104,0.751541,152.80604,42.055318,1.16265,0.873779,177.659936,48.895614
2025-10-26,0.859831,0.75078,153.086951,41.993482,1.16302,0.873172,178.043164,48.839254
2025-10-27,0.858325,0.74961,152.702015,42.125098,1.16506,0.87334,177.906988,49.078261
2025-10-28,0.85785,0.75343,152.048499,42.100258,1.165705,0.878277,177.243727,49.07649
